Lugar y fecha,Area General de Origen,Area específica de origen,Consecutivo,Destinatario,Cargo,Cuerpo Oficio,Remitente,Cargo,Copias,Elaboración
"Huixquilucan de Degollado, Estado de México, a 07 de enero de 2021",Dirección General de Administración,Subdirección de Sistemas ,Oficio No: DGA/SS/001/01/2021,LIC. ALMA ROCÍO ROJAS PÉREZ ,"SUBIDRECTORA DE FACTOR  

HUMANO Y PRODUCTIVIDAD 
","Por medio del presente, remito a Usted, certificado de incapacidad con folio E-001085 del C. Ángel Herrera Tello, con número de cobro 460 quien se encuentra adscrito a esta Subdirección a mi digno cargo, por 03 días, mismo que comprenden del 04 al 06 de enero del año en curso, para su atención procedente. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr*
"Huixquilucan de Degollado, Estado de México, a 04 de enero de 2021",Dirección General de Administración,Subdirección de Sistemas,Oficio No: DGA/SS/001B/01/2021,LIC. ALMA ROCÍO ROJAS PÉREZ ,"SUBDIRECTORA DE FACTOR HUMANO  

Y PRODUCTIVIDAD ","Por medio del presente, solicito a Usted, de la manera más atenta, de no existir inconveniente alguno gire sus apreciables instrucciones a efecto de realizar el Alta laboral del C. Arana Contreras Edgar, con categoría de Asistente Administrativo “C”, en el Departamento de Mantenimiento y Soporte Técnico, percibiendo un sueldo neto de $10,081.00 (Diez Mil Ochenta y un Pesos 00/100 M.N.), a partir de la primera quincena del mes de enero del año en curso, de igual forma quede exento del registro de asistencia mediante el sistema de lector biométrico, ya que se ha implementado un plan de rotación de personal con la finalidad de brindar una atención oportuna a los reportes en los diferentes inmuebles ubicados tanto en Cabecera Municipal (Palacio Municipal, Edificio Administrativo Huixquilucan, Ex cinema), así como en la Zona Residencial (Pirules, Fresko, San Fernando), entre otros, esto con la finalidad de cumplir con las actividades del puesto que desempeña, toda vez que a así lo requiere esta Subdirección a mi digno cargo.",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr*
" 

Huixquilucan de Degollado, Estado de México, a 11 de enero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/002/01/2021 ,LIC. ALMA ROCÍO ROJAS PÉREZ ,"SUBIDRECTORA DE FACTOR  

HUMANO Y PRODUCTIVIDAD ","Por medio del presente, remito a Usted, certificado de incapacidad con folio E-001305 del C. Ángel Herrera Tello, con número de cobro 460 quien se encuentra adscrito a esta Subdirección a mi digno cargo, por 07 días, mismo que comprenden del 07 al 13 de enero del año en curso, para su atención procedente. Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 11 de enero de 2021 ",Dirección General de Administración,Subdirección de Sistemas ,Oficio No: DGA/SS/003/01/202,MTRA. MARÍA TERESA PADRÓN ALVAREZ ,ENCARGADA DEL DESPACHO DE LA SUBDIRECCIÓN DE PROCESO  ,"En atención a su oficio SPAI/0001/01/2021, de fecha 02 de diciembre del año en curso, mediante el cual solicita el “Informe de Actividades correspondiente al mes de diciembre de 2020”, así como el “Informe de actividades correspondientes al cuarto trimestre octubre - diciembre 2020, le comento que adjunto al presente encontrará el formato con la información requerida en forma impresa, misma que ya ha sido enviada al correo electrónico proporcionado. 

Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 12 de enero de 2021",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/004/01/2021,LIC. REINA JAZMÍN RINCÓN MUCIÑO,SUBDIRECTORA DE PROCESO ADMINISTRATIVO INTERNO,"Por medio del presente me permito remitir a Usted, la factura original de Teléfonos S.A.B. de C.V., correspondiente al mes de diciembre del año 2020, toda vez que la empresa en mención desfaso sus tiempos de expedición de las facturas, motivo por el cual esta Subdirección a mi digno cargo la está remitiendo en esta fecha. 

Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 18 de enero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/005/01/2021 ,LIC. ALMA ROCÍO ROJAS PÉREZ ,SUBDIRECTORA DE FACTOR HUMANO Y PRODUCTIVIDAD,"En atención a su oficio SFHP/448/11/20 de fecha 05 de noviembre del año 2020, mediante el cual solicita se elabore un sistema y/o plataforma digital en la que los servidores públicos puedan accesar y requisitar cada uno de los campos solicitados por la Contraloría Interna Municipal, así mismo solicito atentamente se me informe quienes serán los responsables del manejo de esta información, al respecto me permito informar a Usted que su solicitud ha sido atendida en tiempo y forma.  Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo.",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 18 de enero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/006/01/2021 ,C.P. EDITH EYEYO DE LA CRUZ ,SUBTESORERA DE ADMINISTRACIÓN TRIBUTARIA ,"En atención a su oficio TM/STAT/429/2020 de fecha 25 de noviembre del año 2020, mediante el cual solicita se realice el mantenimiento a los equipos de cómputo pertinentes a la Subtesorería de Administración Tributaria con el fin de tenerlos en óptimas condiciones para la recaudación en las oficinas externas, al respecto me permito informar a Usted que su solicitud ha sido atendida en tiempo y forma.  
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 18 de enero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/007/01/2021,C. JOSÉ MANUEL HERNÁNDEZ VELASCO , DIRECTOR DE GOBIERNO," En atención a su oficio DG/280/2020 de fecha 04 de diciembre del año 2020, mediante el cual solicita se realice la reubicación de la computadora HUIX-95-EV-ME-0354, de la Dirección de Gobierno, al respecto me permito informar a Usted que su solicitud ha sido atendida en tiempo y forma.  

Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 18 de enero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/009/01/2021 ,MTRA. VIANNEY JASSO PADILLA ,"SUBIDRECTORA DE RECURSOS 

MATERIALES Y ADQUISICIONES","Por medio del presente, me permito solicitar a Usted, gire sus apreciables instrucciones a quien corresponda a efecto de realizar la adquisición de tarjeta para DSP con la finalidad de dar mantenimiento al equipo UPS del edificio Administrativo Huixquilucan. 

Anexo al presente especificaciones técnicas y las 7 requisiciones en original correspondientes a dicha compra. 

Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 26 de enero de 2021",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/010/01/2021,MTRA. TERESA GINEZ SERRANO ,DIRECTORA GENERAL DE ADMINISTRACIÓN,"En atención a su oficio DGA/SPAI/0056/01/2021 de fecha 21 de enero del año en curso y en atención al diverso DIM/SCE/0106/2021, suscrito por el Lic. Benito García Ávalos, Contralor Interno Municipal, mediante el cual envía CD con los archivos correspondientes a los Manuales de Organización y Procedimientos de ésta Unidad Administrativa a fin de ser difundidos entre el personal adscritos a esta área, al respecto me permito informar a Usted, que dicha información ha sido publicada en la Intranet Municipal (intranet.huixquilucan.local) para su difusión entre el personal, adjunto evidencia requerida. 

Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo.",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
